📺央视频道,#genre#
CCTV-1,http://106.46.112.123:8888/hls/1/index.m3u8
CCTV-2,http://106.46.112.123:8888/hls/2/index.m3u8
CCTV-3,http://106.46.112.123:8888/hls/3/index.m3u8
CCTV-4,http://106.46.112.123:8888/hls/4/index.m3u8
CCTV-5,http://106.46.112.123:8888/hls/5/index.m3u8
CCTV-5+,http://124.95.180.107:6718/1.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225494/index.m3u8
CCTV-6,http://106.46.112.123:8888/hls/6/index.m3u8
CCTV-7,http://106.46.112.123:8888/hls/7/index.m3u8
CCTV-8,http://106.46.112.123:8888/hls/8/index.m3u8
CCTV-9,http://106.46.112.123:8888/hls/9/index.m3u8
CCTV-10,http://106.46.112.123:8888/hls/10/index.m3u8
CCTV-11,http://106.46.112.123:8888/hls/11/index.m3u8
CCTV-12,http://106.46.112.123:8888/hls/12/index.m3u8
CCTV-13,http://106.46.112.123:8888/hls/13/index.m3u8
CCTV-14,http://106.46.112.123:8888/hls/14/index.m3u8
CCTV-15,http://106.46.112.123:8888/hls/15/index.m3u8

📺全网通央视,#genre#
CCTV-1综合,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1
CCTV-2财经,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2
CCTV-3综艺,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3
CCTV-4中文国际,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4
CCTV-5体育,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5
CCTV-6电影,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6
CCTV-7国防军事,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7
CCTV-8电视剧,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8
CCTV-9记录,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9
CCTV-10科教,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10
CCTV-11戏曲,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11
CCTV-12社会与法,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12
